NAME,Geography,year,month,tot_evic
40143000004,Precinct,2019,2,4
40143000004,Precinct,2019,3,4
40143000004,Precinct,2019,4,10
40143000004,Precinct,2019,6,1
40143000004,Precinct,2019,7,7
40143000004,Precinct,2019,8,6
40143000004,Precinct,2019,9,1
40143000004,Precinct,2020,2,3
40143000004,Precinct,2020,3,5
40143000004,Precinct,2020,6,2
40143000004,Precinct,2020,7,8
40143000004,Precinct,2020,8,5
40143000004,Precinct,2020,9,7
40143000004,Precinct,2020,10,2
40143000004,Precinct,2020,11,2
40143000004,Precinct,2020,12,1
40143000004,Precinct,2021,1,4
40143000004,Precinct,2021,2,4
40143000004,Precinct,2021,3,4
40143000004,Precinct,2021,4,5
40143000004,Precinct,2022,1,7
40143000004,Precinct,2022,2,6
40143000004,Precinct,2022,3,5
40143000004,Precinct,2022,4,4
40143000004,Precinct,2022,5,1
40143000004,Precinct,2022,6,4
40143000004,Precinct,2022,7,8
40143000004,Precinct,2022,8,7
40143000004,Precinct,2022,9,8
40143000004,Precinct,2022,10,4
40143000004,Precinct,2022,11,3
40143000004,Precinct,2022,12,12
40143000004,Precinct,2023,1,6
40143000004,Precinct,2023,2,7
40143000004,Precinct,2023,3,9
40143000004,Precinct,2023,4,5
40143000005,Precinct,2019,2,1
40143000005,Precinct,2019,4,3
40143000005,Precinct,2019,5,1
40143000005,Precinct,2019,6,1
40143000005,Precinct,2019,7,1
40143000005,Precinct,2020,1,9
40143000005,Precinct,2020,2,3
40143000005,Precinct,2020,3,4
40143000005,Precinct,2020,6,5
40143000005,Precinct,2020,7,6
40143000005,Precinct,2020,8,3
40143000005,Precinct,2020,9,3
40143000005,Precinct,2020,10,1
40143000005,Precinct,2020,11,2
40143000005,Precinct,2021,1,2
40143000005,Precinct,2021,2,6
40143000005,Precinct,2021,3,4
40143000005,Precinct,2021,4,1
40143000005,Precinct,2022,1,3
40143000005,Precinct,2022,2,3
40143000005,Precinct,2022,3,9
40143000005,Precinct,2022,4,2
40143000005,Precinct,2022,5,10
40143000005,Precinct,2022,6,8
40143000005,Precinct,2022,7,3
40143000005,Precinct,2022,8,8
40143000005,Precinct,2022,9,5
40143000005,Precinct,2022,10,5
40143000005,Precinct,2022,11,1
40143000005,Precinct,2022,12,4
40143000005,Precinct,2023,1,11
40143000005,Precinct,2023,2,4
40143000005,Precinct,2023,3,10
40143000006,Precinct,2018,2,1
40143000006,Precinct,2018,4,7
40143000006,Precinct,2018,5,2
40143000006,Precinct,2018,6,11
40143000006,Precinct,2018,7,6
40143000006,Precinct,2018,9,5
40143000006,Precinct,2018,10,1
40143000006,Precinct,2018,11,8
40143000006,Precinct,2018,12,3
40143000006,Precinct,2019,1,6
40143000006,Precinct,2019,2,2
40143000006,Precinct,2019,3,4
40143000006,Precinct,2019,4,9
40143000006,Precinct,2019,5,8
40143000006,Precinct,2019,6,9
40143000006,Precinct,2019,7,8
40143000006,Precinct,2019,8,5
40143000006,Precinct,2019,10,5
40143000006,Precinct,2019,11,5
40143000006,Precinct,2020,1,3
40143000006,Precinct,2020,2,6
40143000006,Precinct,2020,3,7
40143000006,Precinct,2020,5,3
40143000006,Precinct,2020,6,3
40143000006,Precinct,2020,7,6
40143000006,Precinct,2020,9,4
40143000006,Precinct,2020,10,7
40143000006,Precinct,2020,12,1
40143000006,Precinct,2021,1,3
40143000006,Precinct,2021,2,3
40143000006,Precinct,2021,3,12
40143000006,Precinct,2021,4,11
40143000006,Precinct,2022,1,3
40143000006,Precinct,2022,2,4
40143000006,Precinct,2022,3,3
40143000006,Precinct,2022,4,1
40143000006,Precinct,2022,5,4
40143000006,Precinct,2022,6,4
40143000006,Precinct,2022,7,1
40143000006,Precinct,2022,8,7
40143000006,Precinct,2022,9,2
40143000006,Precinct,2022,10,6
40143000006,Precinct,2022,11,4
40143000006,Precinct,2022,12,5
40143000006,Precinct,2023,1,10
40143000006,Precinct,2023,2,1
40143000006,Precinct,2023,3,6
40143000006,Precinct,2023,4,3
40143000007,Precinct,2019,2,4
40143000007,Precinct,2019,3,1
40143000007,Precinct,2019,5,2
40143000007,Precinct,2019,7,3
40143000007,Precinct,2019,8,1
40143000007,Precinct,2020,1,7
40143000007,Precinct,2020,3,3
40143000007,Precinct,2020,5,1
40143000007,Precinct,2020,6,1
40143000007,Precinct,2020,7,2
40143000007,Precinct,2020,8,3
40143000007,Precinct,2020,9,1
40143000007,Precinct,2020,10,2
40143000007,Precinct,2020,11,1
40143000007,Precinct,2020,12,4
40143000007,Precinct,2021,1,3
40143000007,Precinct,2021,2,4
40143000007,Precinct,2021,3,2
40143000007,Precinct,2022,1,1
40143000007,Precinct,2022,2,1
40143000007,Precinct,2022,5,2
40143000007,Precinct,2022,6,2
40143000007,Precinct,2022,7,2
40143000007,Precinct,2022,8,1
40143000007,Precinct,2022,9,2
40143000007,Precinct,2022,12,4
40143000007,Precinct,2023,1,7
40143000007,Precinct,2023,2,3
40143000007,Precinct,2023,3,5
40143000007,Precinct,2023,4,1
40143000008,Precinct,2019,1,4
40143000008,Precinct,2019,2,1
40143000008,Precinct,2019,3,2
40143000008,Precinct,2019,4,3
40143000008,Precinct,2019,5,3
40143000008,Precinct,2019,6,1
40143000008,Precinct,2019,7,2
40143000008,Precinct,2019,8,1
40143000008,Precinct,2020,1,2
40143000008,Precinct,2020,2,1
40143000008,Precinct,2020,5,1
40143000008,Precinct,2020,6,4
40143000008,Precinct,2020,7,7
40143000008,Precinct,2020,8,6
40143000008,Precinct,2020,9,4
40143000008,Precinct,2020,10,2
40143000008,Precinct,2020,11,3
40143000008,Precinct,2020,12,4
40143000008,Precinct,2021,2,1
40143000008,Precinct,2021,3,1
40143000008,Precinct,2022,3,2
40143000008,Precinct,2022,4,1
40143000008,Precinct,2022,5,3
40143000008,Precinct,2022,6,1
40143000008,Precinct,2022,8,2
40143000008,Precinct,2022,9,2
40143000008,Precinct,2022,10,2
40143000008,Precinct,2022,11,4
40143000008,Precinct,2022,12,7
40143000008,Precinct,2023,2,3
40143000008,Precinct,2023,3,2
40143000008,Precinct,2023,4,1
40143000009,Precinct,2019,1,2
40143000009,Precinct,2019,3,3
40143000009,Precinct,2019,4,3
40143000009,Precinct,2019,7,2
40143000009,Precinct,2019,8,2
40143000009,Precinct,2019,10,1
40143000009,Precinct,2020,2,1
40143000009,Precinct,2020,3,1
40143000009,Precinct,2020,7,6
40143000009,Precinct,2020,8,3
40143000009,Precinct,2020,9,1
40143000009,Precinct,2020,10,1
40143000009,Precinct,2021,1,1
40143000009,Precinct,2021,3,1
40143000009,Precinct,2021,4,1
40143000009,Precinct,2022,2,2
40143000009,Precinct,2022,4,1
40143000009,Precinct,2022,5,1
40143000009,Precinct,2022,6,1
40143000009,Precinct,2022,7,2
40143000009,Precinct,2022,8,4
40143000009,Precinct,2022,9,4
40143000009,Precinct,2022,10,1
40143000009,Precinct,2022,11,3
40143000009,Precinct,2023,1,2
40143000009,Precinct,2023,2,2
40143000009,Precinct,2023,3,4
40143000009,Precinct,2023,4,1
40143000010,Precinct,2019,1,3
40143000010,Precinct,2019,2,1
40143000010,Precinct,2019,4,2
40143000010,Precinct,2019,5,4
40143000010,Precinct,2019,6,6
40143000010,Precinct,2019,7,2
40143000010,Precinct,2019,8,1
40143000010,Precinct,2019,10,3
40143000010,Precinct,2020,1,7
40143000010,Precinct,2020,2,14
40143000010,Precinct,2020,3,2
40143000010,Precinct,2020,5,2
40143000010,Precinct,2020,6,2
40143000010,Precinct,2020,7,3
40143000010,Precinct,2020,8,2
40143000010,Precinct,2020,9,5
40143000010,Precinct,2020,10,4
40143000010,Precinct,2020,11,4
40143000010,Precinct,2020,12,2
40143000010,Precinct,2021,2,5
40143000010,Precinct,2021,3,2
40143000010,Precinct,2021,4,8
40143000010,Precinct,2022,1,2
40143000010,Precinct,2022,2,5
40143000010,Precinct,2022,3,8
40143000010,Precinct,2022,4,4
40143000010,Precinct,2022,5,5
40143000010,Precinct,2022,6,8
40143000010,Precinct,2022,7,4
40143000010,Precinct,2022,8,9
40143000010,Precinct,2022,9,13
40143000010,Precinct,2022,10,1
40143000010,Precinct,2022,11,2
40143000010,Precinct,2022,12,5
40143000010,Precinct,2023,1,8
40143000010,Precinct,2023,2,5
40143000010,Precinct,2023,3,6
40143000010,Precinct,2023,4,3
40143000011,Precinct,2018,1,1
40143000011,Precinct,2018,4,1
40143000011,Precinct,2019,1,7
40143000011,Precinct,2019,2,1
40143000011,Precinct,2019,3,7
40143000011,Precinct,2019,4,3
40143000011,Precinct,2019,5,5
40143000011,Precinct,2019,6,3
40143000011,Precinct,2019,7,3
40143000011,Precinct,2019,8,6
40143000011,Precinct,2019,11,2
40143000011,Precinct,2020,1,10
40143000011,Precinct,2020,2,5
40143000011,Precinct,2020,5,2
40143000011,Precinct,2020,6,14
40143000011,Precinct,2020,7,6
40143000011,Precinct,2020,8,5
40143000011,Precinct,2020,9,8
40143000011,Precinct,2020,12,3
40143000011,Precinct,2021,1,1
40143000011,Precinct,2021,2,5
40143000011,Precinct,2021,3,5
40143000011,Precinct,2021,4,7
40143000011,Precinct,2022,1,3
40143000011,Precinct,2022,2,3
40143000011,Precinct,2022,3,6
40143000011,Precinct,2022,4,4
40143000011,Precinct,2022,5,4
40143000011,Precinct,2022,6,13
40143000011,Precinct,2022,7,4
40143000011,Precinct,2022,8,8
40143000011,Precinct,2022,9,7
40143000011,Precinct,2022,10,3
40143000011,Precinct,2022,11,9
40143000011,Precinct,2022,12,7
40143000011,Precinct,2023,1,8
